CNAE09;negocio;MES;TRIGGER
12;5;1;B.POSITIVO
12;5;2;A.POSITIVO
12;5;3;B.POSITIVO
12;5;7;C.NEGATIVO
12;5;8;D.NEGATIVO
12;5;10;C.NEGATIVO
12;5;11;B.POSITIVO
13;0;1;D.NEGATIVO
13;0;2;B.POSITIVO
13;0;3;C.NEGATIVO
13;0;5;C.NEGATIVO
13;0;6;A.POSITIVO
13;0;7;C.NEGATIVO
13;0;10;A.POSITIVO
13;0;11;A.POSITIVO
13;0;12;C.NEGATIVO
13;1;1;B.POSITIVO
13;1;5;C.NEGATIVO
13;1;6;C.NEGATIVO
13;1;7;C.NEGATIVO
13;1;8;C.NEGATIVO
13;1;10;A.POSITIVO
13;2;1;A.POSITIVO
13;2;2;B.POSITIVO
13;2;3;B.POSITIVO
13;2;5;C.NEGATIVO
13;2;7;C.NEGATIVO
13;2;8;C.NEGATIVO
13;2;12;C.NEGATIVO
13;3;1;A.POSITIVO
13;3;2;B.POSITIVO
13;3;3;C.NEGATIVO
13;3;4;C.NEGATIVO
13;3;6;B.POSITIVO
13;3;8;D.NEGATIVO
13;3;9;C.NEGATIVO
13;3;12;C.NEGATIVO
13;4;1;A.POSITIVO
13;4;4;B.POSITIVO
13;4;10;B.POSITIVO
13;4;11;C.NEGATIVO
13;4;12;C.NEGATIVO
13;5;1;D.NEGATIVO
13;5;2;C.NEGATIVO
13;5;3;D.NEGATIVO
13;5;4;C.NEGATIVO
13;5;5;C.NEGATIVO
13;5;10;A.POSITIVO
13;5;11;A.POSITIVO
13;5;12;A.POSITIVO
15;0;1;B.POSITIVO
15;0;3;B.POSITIVO
15;0;6;C.NEGATIVO
15;0;8;C.NEGATIVO
15;1;8;C.NEGATIVO
15;2;2;B.POSITIVO
15;2;3;B.POSITIVO
15;2;4;B.POSITIVO
15;2;8;C.NEGATIVO
15;2;9;C.NEGATIVO
15;2;12;C.NEGATIVO
15;3;2;B.POSITIVO
15;3;8;C.NEGATIVO
15;3;12;C.NEGATIVO
15;4;1;A.POSITIVO
15;4;2;A.POSITIVO
15;4;7;C.NEGATIVO
15;4;8;C.NEGATIVO
15;4;11;C.NEGATIVO
15;5;1;B.POSITIVO
15;5;2;B.POSITIVO
15;5;5;C.NEGATIVO
15;5;8;C.NEGATIVO
16;1;2;B.POSITIVO
16;1;4;C.NEGATIVO
16;1;6;C.NEGATIVO
16;1;9;B.POSITIVO
17;0;1;B.POSITIVO
17;0;2;B.POSITIVO
17;0;6;C.NEGATIVO
17;0;8;B.POSITIVO
17;0;11;C.NEGATIVO
17;0;12;C.NEGATIVO
17;1;3;C.NEGATIVO
17;1;4;B.POSITIVO
17;1;8;C.NEGATIVO
17;2;7;C.NEGATIVO
17;2;8;C.NEGATIVO
17;2;10;A.POSITIVO
17;2;11;C.NEGATIVO
